id,nombre_asp,cantidad_especies,lista_especies
areas_silvestres_protegidas.1,Montes Submarinos,"0",
areas_silvestres_protegidas.2,Cabo Blanco,"0",
areas_silvestres_protegidas.3,Alberto Manuel Brenes,"0",
areas_silvestres_protegidas.4,Isla Guayabo,"0",
areas_silvestres_protegidas.5,Isla Pajaros,"0",
areas_silvestres_protegidas.6,Islas Negritos,"0",
areas_silvestres_protegidas.7,Hitoy Cerere,"0",
areas_silvestres_protegidas.8,Lomas de Barbudal,"0",
areas_silvestres_protegidas.9,Cerro Las Vueltas,"0",
areas_silvestres_protegidas.10,De San Vito,"0",
areas_silvestres_protegidas.11,Lacustrino Laguna del Paraguas,"0",
areas_silvestres_protegidas.12,Palustrino Corral de piedra,"0",
areas_silvestres_protegidas.13,Lacustrino Bonilla Bonillita,"0",
areas_silvestres_protegidas.14,Humedal lacustrino Rio Canas,"1",Saccopteryx bilineata
areas_silvestres_protegidas.15,Humedal Laguna Madrigal,"0",
areas_silvestres_protegidas.16,Marino Playa Blanca,"0",
areas_silvestres_protegidas.17,Marino Playa Blanca,"0",
areas_silvestres_protegidas.18,Nacional Cariari,"0",
areas_silvestres_protegidas.19,Estero Puntarenas y Manglares Asociados,"0",
areas_silvestres_protegidas.20,Monumento Nacional Guayabo,"0",
areas_silvestres_protegidas.21,Cabo Blanco,"0",
areas_silvestres_protegidas.22,Cabo Blanco,"9","Saccopteryx bilineata, Noctilio leporinus, Carollia perspicillata, Glossophaga mutica, Artibeus phaeotis, Pteronotus mesoamericanus, Trachops cirrhosus, Micronycteris schmidtorum, Diclidurus albus"
areas_silvestres_protegidas.23,Cabo Blanco,"0",
areas_silvestres_protegidas.24,Nicolas Wessberg,"0",
areas_silvestres_protegidas.25,Arenal,"1",Saccopteryx bilineata
